SMILES,Pred_Score
CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(C(=O)O)s3)CC[C@@H]12)c1csc(N)n1,0.978119013
CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3[nH]c(=O)c(O)n[n+]3C)CS[C@@H]12)c1csc(N)n1,0.97801635
O=C(O)c1cn(C2CC2)c2cc(N3CCN([C@H]4CC(=O)N(c5cc(Cl)cc(Cl)c5)C4=O)CC3)c(F)cc2c1=O,0.977939057
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(=O)NC(=N)SCCN)c3=O,0.977903554
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(=O)n1c(Cl)ncc(N)c1=N)c3=O,0.977872974
C[C@@H]1COc2c(F)c(F)cc3c(=O)c(C(=O)N4CN[C@H](N)[C@H]5NCN[C@H]54)cn1c32,0.977850181
C=C1c2c(Cl)ccc(O)c2C(O)=C2C(=O)[C@]3(O)C(=O)/C(=C(/N)O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12,0.977633175
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@@H]12)c1csc(N)n1,0.977565622
CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1,0.977487716
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[N+]3(C)CCCC3)CS[C@@H]12)c1csc(N)n1,0.9773846
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)ON4C(=O)CCC4=O)cn1c32,0.977143291
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnc(C)s3)CS[C@@H]12)c1csc(N)n1,0.976674965
CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(C(=O)O)s3)CC[C@H]12)c1csc(N)n1,0.97656576
CNc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)/C(=N/OC)c4csc(N)c4)[C@H]3SC2)s1,0.97621685
CC(=O)N1C2C3N(C(C)=O)[C@@H]4N[C@@H]1[C@@H](N[C@H]4N3C(C)=O)N2C(C)=O,0.97604723
CN(C)[C@@H]1C(=O)[C@@H](C(N)=O)C(=O)[C@@]2(O)C(=O)[C@H]3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,0.976016775
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)Nc4c(N)c(=O)c4=O)cn1c32,0.976002488
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(=O)n1cc(N)c(O)nc1=N)c3=O,0.975933596
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N[C@H](CO)C(N)=O)cn1c32,0.975920469
O=C(O)c1cn(C2CC2)c2cc(N3CCN([C@@H]4CC(=O)N(c5cc(Cl)cc(Cl)c5)C4=O)CC3)c(F)cc2c1=O,0.975721759
CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]21,0.975676125
CC(=O)N1C2C3N(C(C)=O)[C@@H]4N[C@H]1[C@H](N[C@H]4N3C(C)=O)N2C(C)=O,0.975482899
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN([C@@H]4CC(=O)N(C5CC5)C4=O)CC3)cc21,0.975391698
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)N[C@@H]3C[C@H]3F)=CCS[C@H]12)c1csc(N)n1,0.975350127
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N(C)[C@@H]4[C@H]5CNC[C@H]54)cn1c32,0.975290784
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[N+]3(C)CCCC3)CS[C@@H]12)c1csc(N)n1,0.975144503
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N[C@H]4CCC(=O)NC4=O)cn1c32,0.975049827
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N[C@@H]4CNC[C@H]4O)cn1c32,0.975044486
CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3[nH]c(=O)c(O)n[n+]3C)CS[C@H]12)c1csc(N)n1,0.974993792
CCn1cc(C(=O)O)c(=O)c2cc(F)c(F)cc21,0.974882334
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(=O)N(CCCCN)C(=N)N)c3=O,0.974787706
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@H]12)c1csc(N)n1,0.974671444
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(=O)n1c(Cl)ncc(N)c1=N)c3=O,0.973874968
C[C@@H]1COc2c(F)c(F)cc3c(=O)c(C(=O)N4CN[C@H](N)[C@@H]5NCN[C@H]54)cn1c32,0.973847032
C[C@@H]1COc2c(F)c(F)cc3c(=O)c(C(=O)N4CN[C@H](N)[C@H]5NCN[C@@H]54)cn1c32,0.973808026
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N[C@@H](CO)C(N)=O)cn1c32,0.9737746
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)n3c(N)csc3=N)=CCS[C@H]12)c1csc(N)n1,0.9737293
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nnc(C)s3)CS[C@@H]12)c1csc(N)c1,0.973697221
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(=O)N[C@@H](C#N)C(N)=O)c3=O,0.973500919
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1,0.973492661
C1CCC(N2N[C@H]2[C@H]2NN2C2CCCCC2)CC1,0.973159
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C3=C(COC3=O)CS[C@H]12)c1csc(N)n1,0.973106936
Cn1/c(=N/C(=N)NC(=N)N)n(/C(N)=N/C(=N)N)/c(=N/C(=N)NC(=N)N)n1C,0.973060659
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]12)c1cnc(N)s1,0.972783756
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnc(C)s3)CS[C@H]12)c1csc(N)n1,0.972617751
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)N[C@@H]3SC(=O)NC3=O)=CCS[C@H]12)c1csc(N)n1,0.972541174
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,0.97253533
CNc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)/C(=N/OC)c4csc(N)c4)[C@@H]3SC2)s1,0.972526559
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)NC=N)=CCS[C@H]12)c1csc(N)n1,0.972502661
N[C@@H]1NCN(C(=O)/C=C/c2cc(F)c(F)cc2F)[C@H]2NCN[C@H]21,0.972248569
CC[C@H](C)[C@@H](CO)NC(=O)c1cn2c3c(cc(F)c(N4CCN(C)CC4)c3OC[C@H]2C)c1=O,0.972227734
CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,0.972067875
C[C@H]1CN(C(=O)c2cn3c4c(cc(F)c(N5CCN(C)CC5)c4OC[C@@H]3C)c2=O)C[C@H](C)N1,0.972055647
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N4C[C@H](C)N[C@@H](C)C4)cn1c32,0.972055641
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N[C@@H]4CCC(=O)NC4=O)cn1c32,0.97189559
CN(C)[C@@H]1C(=O)[C@H](C(N)=O)C(=O)[C@@]2(O)C(=O)[C@H]3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,0.971743098
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(=O)N[C@H](C#N)C(N)=O)c3=O,0.97167345
CN(C)[C@@H]1C(=O)[C@@H](C(N)=O)C(=O)[C@@]2(O)C(=O)[C@@H]3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,0.971667385
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(=O)n1c(=N)ccc(F)c1N)c3=O,0.97159816
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(=O)n1cc(N)c(O)nc1=N)c3=O,0.971524456
COC(=O)c1cc(F)c(N2CCN(C)CC2)cc1F,0.97141532
COC(=O)[C@@H](NC(=O)c1cn2c3c(cc(F)c(N4CCN(C)CC4)c3OC[C@H]2C)c1=O)[C@@H](C)O,0.971414512
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(=O)n1cc(CN)cnc1=N)c3=O,0.971300951
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)NC(=N)c3nccs3)=CCS[C@H]12)c1csc(N)n1,0.971010178
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]12)c1csc(N)n1,0.970921463
CCOC(=O)c1c2c(sc1NC(=S)N1CCN(c3c(F)cc4c(=O)c(C(=O)O)cn(C5CC5)c4c3OC)C[C@@H]1C)CCCC2,0.970871383
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CS)CS[C@H]12)c1csc(N)n1,0.970853129
CCOC(=O)c1c2c(sc1NC(=S)N1CCN(c3c(F)cc4c(=O)c(C(=O)O)cn(C5CC5)c4c3OC)C[C@H]1C)CCCC2,0.970783263
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3cnns3)CS[C@H]12)c1csc(N)n1,0.970544204
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N4CCNC[C@H]4C#N)cn1c32,0.970543545
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(C(=O)O)s3)CC[C@@H]12)c1csc(N)n1,0.970502496
CCOC(=O)c1cn2c3c(cc(F)c(F)c3OCC2)c1=O,0.970448107
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)NC(=N)c4ncc[nH]4)cn1c32,0.970364797
CCOc1c(=O)c(=O)c1N1CCN(c2c(=O)c(=O)c2OCC)CC1,0.970157245
C=C1c2c(Cl)ccc(O)c2C(O)=C2C(=O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]12,0.970115197
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,0.970035458
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N(C)[C@@H]4[C@H]5CNC[C@H]54)cn1c32,0.969714171
COc1c(N2CCN(/C(S)=N\c3ccc(F)cc3)[C@@H](C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c21,0.969406965
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N[C@H](CO)C(N)=O)cn1c32,0.969360372
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nnc(C)s3)CS[C@H]12)c1csc(N)c1,0.969177428
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N[C@@H]4CNC[C@H]4O)cn1c32,0.969169527
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(Cn3nnc(C)n3)CS[C@@H]12)c1csc(N)n1,0.969153091
CCCC[C@H](NC(=O)c1cn2c3c(cc(F)c(N4CCN(C)CC4)c3OC[C@H]2C)c1=O)C(N)=O,0.968953735
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N[C@@H](CN)C(C)(C)C)cn1c32,0.968926454
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(=O)N(CCCCN)C(=N)N)c3=O,0.968804917
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N[C@H]4CCC(=O)NC4=O)cn1c32,0.968798122
CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1cnc(N)s1,0.968791914
N=c1scc(N)n1-c1c(F)cc(F)c(O)c1F,0.968604979
COCC1=C(C(=O)O)N2C(=O)[C@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@@H]2SC1,0.968594465
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]12)c1csc(N)n1,0.968550482
CN(C)[C@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,0.968420076
COc1c(N2CCN(/C(S)=N\c3ccc(F)cc3)[C@H](C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c21,0.968329185
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(C(=O)O)s3)CC[C@H]12)c1csc(N)n1,0.968292063
C[C@@H]1COc2c(F)c(F)cc3c(=O)c(C(=O)N4CN[C@H](N)[C@@H]5NCN[C@@H]54)cn1c32,0.968167502
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(=O)N[C@@H](C#N)C(N)=O)c3=O,0.967813849
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CS)CS[C@H]12)c1csc(N)n1,0.967731002
CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSC(=O)c3ccco3)CS[C@@H]12)c1csc(N)n1,0.967631501
CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@@H]12)c1csc(N)n1,0.967577401
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)c4cc(F)c(F)cc4Cl)[C@H]3SC2)s1,0.967374748
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N4C[C@@H](F)C[C@H]4C#N)cn1c32,0.967138207
N[C@@H]1NCN(C(=O)/C=C/c2cc(F)c(F)cc2F)[C@H]2NCN[C@@H]21,0.967010084
N[C@@H]1NCN(C(=O)/C=C/c2cc(F)c(F)cc2F)[C@@H]2NCN[C@H]21,0.966884971
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N4CCNCC(F)(F)C4)cn1c32,0.966664609
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(=O)n1cc(CN)cnc1=N)c3=O,0.966663882
COc1c(N2CCN(C(=S)NC(=O)c3ccco3)[C@@H](C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c21,0.966497383
CN(C)[C@@H]1C(=O)[C@H](C(N)=O)C(=O)[C@@]2(O)C(=O)[C@@H]3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,0.966487825
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N(c4ncccn4)C4CNC4)cn1c32,0.966371188
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N[C@@H]4CNCC[C@H]4F)cn1c32,0.966273719
N[C@@H]1NCN(c2c(F)nc(F)nc2Cl)[C@H]2NCN[C@H]21,0.966124138
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N4CCNC[C@@H]4C#N)cn1c32,0.966093048
COc1c(N2CCN(C(=S)NC(=O)c3ccco3)[C@H](C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c21,0.965908703
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(=O)N[C@H](C#N)C(N)=O)c3=O,0.965750867
C=C1c2cccc(O)c2C(=O)[C@@]2(F)C(=O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]12,0.965738237
COC(=O)c1cc(F)c(N2CCN(C)CC2)c(F)c1F,0.965644917
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(=O)n1c(=N)ccc(F)c1N)c3=O,0.965607542
CC[C@H](C)[C@@H](CO)NC(=O)c1cn2c3c(cc(F)c(N4CCN(C)CC4)c3OC[C@@H]2C)c1=O,0.965474188
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)NCCN)=CCS[C@H]12)c1csc(N)n1,0.965458649
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@@H]12)c1csc(N)n1,0.965243605
COCC1=C(C(=O)O)N2C(=O)[C@H](NC(=O)/C(=N/OC)c3csc(N)n3)[C@@H]2SC1,0.96519703
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)N[C@H]4CNC(=O)C4(C)C)cn1c32,0.965195528
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)NC(=N)c4ncc[nH]4)cn1c32,0.965171695
C[C@H]1c2cccc(O)c2C(=O)[C@H]2C(=O)[C@]3(O)C(=O)[C@@H](C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12,0.965161788
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1,0.965135205
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)N3C[C@H](C)N[C@@H](C)C3)=CCS[C@H]12)c1csc(N)n1,0.965011081
COC(=O)[C@@H](C)NC(=S)N1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC)C[C@H]1C,0.964909586
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(=O)n1cnc(CN)cc1=N)c3=O,0.964897597
CC1CCN(c2c(F)c3sc4nc5cc(F)c(F)cc5n4c(=O)c3c(N3CCC(C)CC3)c2F)CC1,0.964565051
